,Name,Episodes,Release,Members,Score
3725,Domo TV,26,2008 - 2008,1614,6.21
3726,Gin no Guardian,12,Apr 2017 - Jun 2017,110916,6.21
3727,God Mazinger,23,Apr 1984 - Oct 1984,2729,6.21
3728,Huckleberry no Bouken,26,Jan 1976 - Jun 1976,2051,6.21
3729,Submarine Super 99,13,May 2003 - Jul 2003,2223,6.21
3730,Uchi no 3 Shimai,102,Apr 2008 - Mar 2010,811,6.21
3731,Totsugeki! Pappara-tai,25,Oct 1998 - Mar 1999,1052,6.2
3732,Uchuu no Kishi Tekkaman,26,Jul 1975 - Dec 1975,3315,6.2
3733,Youkai Ningen Bem,26,Oct 1968 - Mar 1969,2114,6.2
3734,Line Town,50,Apr 2013 - Mar 2014,1018,6.2
3735,Majutsushi Orphen Hagure Tabi: Kimluck-hen,11,Jan 2021 - Mar 2021,28568,6.2
3736,Mini Hama: Minimum Hamatora,8,Nov 2015 - Dec 2015,4833,6.2
3737,Neko Neko Nihonshi 2nd Season,32,Apr 2017 - Feb 2018,847,6.2
3738,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,12,Oct 2021 - Dec 2021,198137,6.2
3739,Akuu Daisakusen Srungle,53,Jan 1983 - Jan 1984,1695,6.2
3740,Chitose Get You!!,26,Jul 2012 - Dec 2012,20845,6.2
3741,Chuu Bra!!,12,Jan 2010 - Mar 2010,47991,6.2
3742,Get Ride! AMDriver,51,Apr 2004 - Mar 2005,2225,6.2
3743,Giniro no Olynsis: Tokito,12,Oct 2006 - Dec 2006,8309,6.2
3744,Ippatsu Kiki Musume,16,Oct 1999 - Oct 1999,7414,6.2
3745,Apache Yakyuugun,26,Oct 1971 - Mar 1972,1099,6.19
3746,Fuusen Shoujo Temple-chan,26,Oct 1977 - Mar 1978,687,6.19
3747,Gakuen Basara,12,Oct 2018 - Dec 2018,18802,6.19
3748,Infinite Dendrogram,13,Jan 2020 - Apr 2020,174902,6.19
3749,Tales of Eternia The Animation,13,Jan 2001 - Mar 2001,17305,6.19
3750,Tantei Team KZ Jiken Note,16,Oct 2015 - Jan 2016,14413,6.19
3751,Wakusei Robo Danguard Ace,56,Mar 1977 - Mar 1978,1900,6.19
3752,Yami Shibai 6,13,Jul 2018 - Sep 2018,21807,6.19
3753,Koi to Producer: EVOL×LOVE,12,Jul 2020 - Oct 2020,61245,6.19
3754,Maicching Machiko-sensei,95,Oct 1981 - Oct 1983,4009,6.19
3755,Manyuu Hikenchou,12,Jul 2011 - Sep 2011,79199,6.19
3756,Ningyohime Marina no Bouken,26,Feb 1991 - Jul 1991,1796,6.19
3757,Photokano,13,Apr 2013 - Jun 2013,125112,6.19
3758,Play Ball,13,Jul 2005 - Sep 2005,1126,6.19
3759,Psychic Academy,24,Mar 2002 - Sep 2002,11556,6.19
3760,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",12,Jan 2014 - Mar 2014,170327,6.19
3761,Shin Strange+,12,Jul 2014 - Sep 2014,14289,6.19
3762,Kappa no Kaikata,26,Oct 2004 - Apr 2005,2277,6.18
3763,Let's Nupu Nupu,16,Oct 1998 - Nov 1998,8053,6.18
3764,Little Charo,50,Apr 2008 - Mar 2009,721,6.18
3765,Machine Robo: Butchigiri Battle Hackers,31,Jun 1987 - Dec 1987,941,6.18
3766,Manga Nippon Mukashibanashi (1976),1471,Jan 1976 - Sep 1994,1596,6.18
3767,Obake no... Holly,200,Jan 1991 - Apr 1993,644,6.18
3768,Rifle Is Beautiful,12,Oct 2019 - Jan 2020,38351,6.18
3769,Animentary: Ketsudan,25,Apr 1971 - Sep 1971,1737,6.18
3770,Brain Powerd,26,Apr 1998 - Nov 1998,10683,6.18
3771,Dororon Enma-kun,25,Oct 1973 - Mar 1974,4177,6.18
3772,Examurai Sengoku,24,Jan 2009 - Jun 2009,4458,6.18
3773,Final Fantasy: Unlimited,25,Oct 2001 - Mar 2002,36693,6.18
3774,Wooser no Sono Higurashi,12,Oct 2012 - Dec 2012,12025,6.18
3775,Yami Shibai 10,13,Jan 2022 - Apr 2022,9701,6.18
3776,Zoku Attacker You! Kin Medal e no Michi,52,2008 - 2008,1270,6.18
3777,Wizard Barristers: Benmashi Cecil,12,Jan 2014 - Mar 2014,57973,6.17
3778,Zhandou Wang Zhi Jufeng Zhan Hun 2,40,Oct 2013 - Feb 2014,675,6.17
3779,Kidou Senshi Gundam-san,13,Jul 2014 - Sep 2014,7794,6.17
3780,Kyouryuu Tankentai Born Free,25,Oct 1976 - Mar 1977,1138,6.17
3781,Larva 3rd Season,104,Aug 2014 - Dec 2015,1031,6.17
3782,Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,26,Jan 1980 - Jul 1980,1223,6.17
3783,Magical Nyan Nyan Taruto,12,Jul 2001 - Sep 2001,7678,6.17
3784,Mori no Tonto-tachi,23,Oct 1984 - Mar 1985,860,6.17
3785,Ojamanga Yamada-kun,103,Sep 1980 - Oct 1982,828,6.17
3786,Shin Calimero,52,Oct 1992 - Sep 1993,2509,6.17
3787,Bullbuster,12,Oct 2023 - Dec 2023,11291,6.17
3788,Fantasista Doll,12,Jul 2013 - Sep 2013,27018,6.17
3789,Ippatsu Kanta-kun,53,Sep 1977 - Sep 1978,880,6.17
3790,Juuou Mujin no Fafnir,12,Jan 2015 - Mar 2015,156332,6.17
3791,Anime Oyako Gekijou,26,Oct 1981 - Mar 1982,2468,6.16
3792,D4 Princess,24,Apr 1999 - Sep 1999,3376,6.16
3793,FLCL: Shoegaze,3,Oct 2023 - Oct 2023,17397,6.16
3794,Gakkyuu Ou Yamazaki,53,Dec 1997 - Apr 1998,1271,6.16
3795,Tono to Issho: Ippunkan Gekijou,12,Jul 2010 - Sep 2010,3447,6.16
3796,Topo Gigio,21,Apr 1988 - Sep 1988,2086,6.16
3797,Ultra B,119,Apr 1987 - Mar 1989,1642,6.16
3798,Zero Tester,38,Oct 1973 - Jun 1974,1027,6.16
3799,Kagaku Kyuujo-tai TechnoVoyager,18,Apr 1982 - Sep 1982,1348,6.16
3800,Kanashiki Debu Neko-chan,10,Dec 2021 - Dec 2021,3192,6.16
3801,Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,13,Apr 2007 - Jun 2007,21329,6.16
3802,Nanami-chan 2nd Series,16,Jun 2005 - Dec 2005,671,6.16
3803,Magical Canan,13,Jan 2005 - Mar 2005,5990,6.15
3804,Misute♡naide Daisy,12,Jul 1997 - Sep 1997,2050,6.15
3805,Sci-fi Harry,20,Oct 2000 - Mar 2001,9210,6.15
3806,Alice Tantei Kyoku,56,Apr 1995 - Jan 1997,503,6.15
3807,Deji Meets Girl,12,Oct 2021 - Dec 2021,33109,6.15
3808,Dragon Collection,51,Apr 2014 - Mar 2015,5277,6.15
3809,Duel Masters Charge,52,Apr 2004 - Mar 2006,5400,6.15
3810,Getter Robo Arc,13,Jul 2021 - Sep 2021,5590,6.15
3811,Gokujo.: Gokurakuin Joshikou Ryou Monogatari,12,Jan 2012 - Mar 2012,32462,6.15
3812,Green Green,12,Jul 2003 - Sep 2003,117091,6.15
3813,Himiko-den,12,Jan 1999 - Apr 1999,6198,6.15
3814,Yama Nezumi Rocky Chuck,52,Jan 1973 - Dec 1973,1638,6.15
3815,Yu☆Gi☆Oh! Sevens,92,Apr 2020 - Mar 2022,17417,6.15
3816,Subarashiki Kono Sekai The Animation,12,Apr 2021 - Jun 2021,70891,6.14
3817,UFO Senshi Dai Apolon,26,Apr 1976 - Sep 1976,1214,6.14
3818,W: Wish,13,Oct 2004 - Dec 2004,15656,6.14
3819,Kaitei Shounen Marine,65,Jan 1969 - Sep 1971,899,6.14
3820,Majutsushi Orphen Hagure Tabi: Urbanrama-hen,12,Jan 2023 - Apr 2023,15027,6.14
3821,Maken-Ki! Two,10,Jan 2014 - Mar 2014,155264,6.14
3822,Sengoku Night Blood,12,Oct 2017 - Dec 2017,44781,6.14
3823,2.43: Seiin Koukou Danshi Volley-bu,12,Jan 2021 - Mar 2021,110732,6.14
3824,Aa Harimanada,23,Apr 1992 - Oct 1992,1903,6.14
3825,Ai Tenchi Muyou!,50,Oct 2014 - Dec 2014,35425,6.14
3826,Balala Xiao Mo Xian Zhi: Meng Huan Xuan Lu,52,Jan 2015 - Aug 2015,1590,6.14
3827,Burn Up Scramble,12,Jan 2004 - Mar 2004,9966,6.14
3828,Gegege no Kitarou: Jigoku-hen,7,Feb 1988 - Mar 1988,1191,6.14
3829,Girly Air Force,12,Jan 2019 - Mar 2019,79292,6.14
3830,Gunjou no Fanfare,13,Apr 2022 - Jun 2022,24379,6.14
3831,Hello Kitty: Ringo no Mori to Parallel Town,27,Oct 2007 - Mar 2008,826,6.14
3832,Huoli Shaonian Wang 3: Xuji,26,2012 - 2012,344,6.14
3833,Isekai wa Smartphone to Tomo ni.,12,Jul 2017 - Sep 2017,554648,6.14
3834,18if,13,Jul 2017 - Sep 2017,56793,6.13
3835,Bakumatsu Gijinden Roman,12,Jan 2013 - Mar 2013,10986,6.13
3836,Dororonpa!,115,Apr 1991 - Sep 1991,670,6.13
3837,Hanabi-chan wa Okuregachi,12,Jul 2022 - Sep 2022,4937,6.13
3838,Teki wa Kaizoku: Neko-tachi no Kyouen,6,Dec 1989 - Dec 1989,2059,6.13
3839,Uchuujin Tanaka Tarou,24,Apr 2000 - Mar 2001,1019,6.13
3840,Kenzen Robo Daimidaler,12,Apr 2014 - Jun 2014,70188,6.13
3841,Lovedol: Lovely Idol,12,Oct 2006 - Dec 2006,8692,6.13
3842,Manga Hajimete Monogatari,305,May 1978 - Mar 1984,718,6.13
3843,Mousou Kagaku Series: Wandaba Style,12,Apr 2003 - Jun 2003,3826,6.13
3844,Ochibi-san,24,Oct 2023 -,741,6.13
3845,Queen's Blade: Rurou no Senshi,12,Apr 2009 - Jun 2009,99745,6.13
3846,Ryuusei Sentai Musumet,13,Oct 2004 - Dec 2004,3178,6.13
3847,Sazae-san,,Oct 1969 -,8258,6.13
3848,Shining Hearts: Shiawase no Pan,12,Apr 2012 - Jun 2012,44518,6.13
3849,Kagi Hime Monogatari: Eikyuu Alice Rondo,13,Jan 2006 - Mar 2006,8656,6.12
3850,Kitsutsuki Tanteidokoro,12,Apr 2020 - Jun 2020,27207,6.12
3851,Lovely Movie: Itoshi no Muco Season 2,22,Apr 2014 - Oct 2014,949,6.12
3852,Masou Gakuen HxH,12,Jul 2016 - Sep 2016,290250,6.12
3853,Noramimi,12,Jan 2008 - Mar 2008,1193,6.12
3854,Play Ball 2nd,13,Jan 2006 - Mar 2006,648,6.12
3855,Rerere no Tensai Bakabon,24,Oct 1999 - Mar 2000,822,6.12
3856,5-Okunen Button,12,Jul 2022 - Sep 2022,721,6.12
3857,Akahori Gedou Hour Rabuge,13,Jul 2005 - Sep 2005,6196,6.12
3858,Akikan!,12,Jan 2009 - Mar 2009,123386,6.12
3859,Battle Spirits: Heroes,50,Sep 2011 - Sep 2012,2239,6.12
3860,Bokura no Ame-iro Protocol,12,Oct 2023 - Dec 2023,29875,6.12
3861,Crystal Blaze,12,Apr 2008 - Jun 2008,16811,6.12
3862,Duel Masters Cross Shock,50,Apr 2010 - Mar 2011,2185,6.12
3863,Hachigatsu no Cinderella Nine,12,Apr 2019 - Jul 2019,27602,6.12
3864,Himitsukessha Taka no Tsume: Golden Spell,12,Oct 2020 - Dec 2020,1235,6.12
3865,Sinbi Apateu: Ghost Ball X-ui Tansaeng,23,Nov 2017 - Jan 2019,583,6.12
3866,Stitch! Itazura Alien no Daibouken,29,Oct 2009 - Jun 2010,2575,6.12
3867,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,13,Jun 2004 - Sep 2004,8279,6.12
3868,Yoiko,20,Nov 1998 - Mar 1999,5445,6.12
3869,Kidou Shinsengumi Moeyo Ken TV,13,Jul 2005 - Sep 2005,6071,6.11
3870,Maido! Urayasu Tekkin Kazoku,25,Jul 2014 - Dec 2014,1119,6.11
3871,Mini Toji,10,Jan 2019 - Mar 2019,6358,6.11
3872,Non-tan to Issho,263,Oct 1992 - Mar 1994,492,6.11
3873,Gunjou no Magmell,13,Apr 2019 - Jun 2019,157014,6.11
3874,Izumo: Takeki Tsurugi no Senki,12,Apr 2005 - Jun 2005,12736,6.11
3875,ēlDLIVE,12,Jan 2017 - Mar 2017,48170,6.1
3876,Chou Tokkyuu Hikarian,156,Apr 1997 - Mar 2000,921,6.1
3877,Hakushon Daimaou,52,Oct 1969 - Sep 1970,2196,6.1
3878,Hey! Bumboo,130,Apr 1985 - Apr 1986,1502,6.1
3879,Jouran: The Princess of Snow and Blood,12,Apr 2021 - Jun 2021,94039,6.1
3880,Takoyaki Mant-Man,77,Apr 1998 - Sep 1999,518,6.1
3881,Transformers Superlink,51,Jan 2004 - Dec 2004,5816,6.1
3882,Shichisei no Subaru,12,Jul 2018 - Sep 2018,137417,6.1
3883,Shin Bikkuriman,72,Apr 1989 - Aug 1990,642,6.1
3884,Mini Van 2nd Season,26,Oct 2015 - Mar 2016,1139,6.09
3885,Obake no Q-tarou,96,Aug 1965 - Jun 1967,919,6.09
3886,One Room: Second Season,12,Jul 2018 - Sep 2018,51037,6.09
3887,Sayonara Watashi no Cramer,13,Apr 2021 - Jun 2021,42723,6.09
3888,Scan2Go,52,Aug 2010 - Mar 2011,3411,6.09
3889,Shin-Men,13,Nov 2010 - Sep 2012,1786,6.09
3890,Animation Kikou: Marco Polo no Bouken,43,Apr 1979 - Apr 1980,1047,6.09
3891,Asagiri no Miko,26,Jul 2002 - Dec 2002,8003,6.09
3892,Furusato Meguri: Nippon no Mukashibanashi,50,Apr 2017 - Mar 2018,1119,6.09
3893,Jinki:Extend,12,Jan 2005 - Mar 2005,11723,6.09
3894,Soul Link,12,Apr 2006 - Jun 2006,22358,6.09
3895,Suhoyojeong Michel,26,Jun 2003 - Dec 2003,878,6.09
3896,Super Shiro,48,Oct 2019 - Sep 2020,2478,6.09
3897,Tamagotchi! Miracle Friends,29,Sep 2013 - Mar 2014,693,6.09
3898,Tanken Driland: 1000-nen no Mahou,51,Apr 2013 - Mar 2014,1478,6.09
3899,Ultraman Kids: Haha wo Tazunete 3000-man Kounen,26,Nov 1991 - May 1992,838,6.09
3900,Urashimasakatasen no Nichijou,12,Oct 2019 - Dec 2019,5908,6.09
3901,Shounen Ashibe: Go! Go! Goma-chan,32,Apr 2016 - Feb 2017,2945,6.08
3902,SoniAni: Super Sonico The Animation,12,Jan 2014 - Mar 2014,86400,6.08
3903,Tribe Nine,12,Jan 2022 - Mar 2022,44784,6.08
3904,Wanpaku Oomukashi Kum Kum,26,Oct 1975 - Mar 1976,953,6.08
3905,Yumeria,12,Jan 2004 - Mar 2004,27979,6.08
3906,Kaitou Tenshi Twin Angel: Kyunkyun☆Tokimeki Paradise!!,12,Jul 2011 - Sep 2011,8754,6.08
3907,Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,12,Oct 2019 - Dec 2019,47953,6.08
3908,Koguma no Misha,26,Oct 1979 - Apr 1980,668,6.08
3909,Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,12,Jan 2011 - Mar 2011,90324,6.08
3910,Ozma,6,Mar 2012 - Apr 2012,15274,6.08
3911,Alice SOS,28,Apr 1998 - Jan 1999,2067,6.08
3912,Ars no Kyojuu,12,Jan 2023 - Mar 2023,42025,6.08
3913,BlazBlue: Alter Memory,12,Oct 2013 - Dec 2013,88951,6.08
3914,Choegang Top Plate,26,Sep 2013 - Dec 2013,596,6.08
3915,Dive!!,12,Jul 2017 - Sep 2017,51872,6.08
3916,Fushigi na Melmo,26,Oct 1971 - Mar 1972,1769,6.08
3917,Bakukyuu Hit! Crash B-Daman,50,Jan 2006 - Dec 2006,2202,6.07
3918,Bem,12,Jul 2019 - Oct 2019,70578,6.07
3919,Eiyuu Kyoushitsu,12,Jul 2023 - Sep 2023,102048,6.07
3920,Hoshi no Ko Poron,260,Apr 1974 - Apr 1975,646,6.07
3921,Instant History,312,May 1961 - Feb 1962,942,6.07
3922,Mahou Shoujo Nante Mou Ii desu kara. Second Season,12,Oct 2016 - Dec 2016,13205,6.07
3923,Manga Doushite Monogatari,100,Apr 1984 - Mar 1986,486,6.07
3924,Namu Amida Butsu! Rendai Utena,12,Apr 2019 - Jun 2019,14776,6.07
3925,Osananajimi ga Zettai ni Makenai Love Comedy,12,Apr 2021 - Jun 2021,261905,6.07
3926,Panda-Z: The Robonimation,30,Apr 2004 - Oct 2004,2455,6.07
3927,Shinobi no Ittoki,12,Oct 2022 - Dec 2022,160856,6.07
3928,Kerokko Demetan,39,Jan 1973 - Sep 1973,1479,6.06
3929,Lan Mao,3057,Oct 1999 - Aug 2001,849,6.06
3930,Marie & Gali ver. 2.0,30,Mar 2010 - Mar 2011,1228,6.06
3931,Momoiro Sisters,23,Aug 1998 - Oct 1998,2958,6.06
3932,Nobara no Julie,13,Jan 1979 - Apr 1979,906,6.06
3933,Nono-chan,61,Jul 2001 - Sep 2002,1226,6.06
3934,Bouken Shounen Shadar,156,Sep 1967 - Mar 1968,797,6.06
3935,Chou Kousoku Galvion,22,Feb 1984 - Apr 1984,1846,6.06
3936,Futari Daka,36,Sep 1984 - Jul 1985,1111,6.06
3937,Genei Toushi Bastof Lemon,26,May 2001 - Nov 2001,1433,6.06
3938,TV Yarou Nanaana: Wakuwaku Doukutsu Land,24,Apr 2019 - Sep 2019,1401,6.06
3939,Shounen Hollywood: Holly Stage for 49,13,Jul 2014 - Sep 2014,15589,6.05
3940,Stitch!,25,Oct 2008 - Mar 2009,6410,6.05
3941,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu,37,Apr 2017 - Dec 2017,1125,6.05
3942,Luck & Logic,12,Jan 2016 - Mar 2016,109206,6.05
3943,Manga Nippon Mukashibanashi,12,Jan 1975 - Mar 1975,840,6.05
3944,Nandaka Velonica,10,Mar 2014 - Mar 2014,1403,6.05
3945,Reiwa no Di Gi Charat,16,Oct 2022 - Jan 2023,4870,6.05
3946,Seupideuwang Beongae,26,May 1998 - Aug 1998,743,6.05
3947,11eyes,12,Oct 2009 - Dec 2009,236553,6.05
3948,Aquarian Age: Sign for Evolution,13,Jan 2002 - Mar 2002,13491,6.05
3949,Cheonbangjichuk Hani,13,1988 - 1989,508,6.05
3950,Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,12,Jan 2017 - Mar 2017,10419,6.05
3951,Danchi Tomoo,78,Apr 2013 - Feb 2015,1083,6.05
3952,DRAMAtical Murder,12,Jul 2014 - Sep 2014,166101,6.05
3953,Gebäude Bäude,10,Nov 2020 - Dec 2020,1481,6.05
3954,Gunslinger Stratos The Animation,12,Apr 2015 - Jun 2015,72146,6.05
3955,Jantama Pong☆,11,Apr 2022 - Jun 2022,7672,6.05
3956,Abarenbou Rikishi!! Matsutarou,23,Apr 2014 - Sep 2014,9350,6.04
3957,Agigongryong Doolie,6,Oct 1987 - Oct 1987,633,6.04
3958,Blade & Soul,13,Apr 2014 - Jun 2014,122013,6.04
3959,Blocker Gundan IV Machine Blaster,38,Jul 1976 - Mar 1977,1160,6.04
3960,DD Hokuto no Ken,12,Jan 2011 - Apr 2011,5084,6.04
3961,Fushigi na Koala Blinky,26,Jul 1984 - Dec 1984,1132,6.04
3962,GO-GO Tamagotchi!,50,Apr 2014 - Mar 2015,752,6.04
3963,Himitsukessha Taka no Tsume,11,Apr 2006 - Jun 2006,1281,6.04
3964,Iron Man,12,Oct 2010 - Dec 2010,29293,6.04
3965,Turning Mecard,52,Feb 2015 - Feb 2016,1165,6.04
3966,Yami Shibai 12,,Jan 2024 -,3239,6.04
3967,Kujira no Josephina,23,Apr 1979 - Sep 1979,723,6.04
3968,Majutsushi Orphen Hagure Tabi: Seiiki-hen,12,Apr 2023 - Jun 2023,9752,6.04
3969,Norakuro,26,Oct 1970 - Mar 1971,609,6.04
3970,Platinum End,24,Oct 2021 - Mar 2022,380568,6.04
3971,King's Raid: Ishi wo Tsugumono-tachi,26,Oct 2020 - Mar 2021,69229,6.03
3972,Masou Kishin Cybuster,26,May 1999 - Oct 1999,3513,6.03
3973,Metal Fight Beyblade Zero G,38,Apr 2012 - Dec 2012,15035,6.03
3974,Minna Atsumare! Falcom Gakuen SC,12,Jan 2015 - Mar 2015,3532,6.03
3975,Mirai Kara Kita Shounen Super Jetter,52,Jan 1965 - Jan 1966,673,6.03
3976,Oh! Super Milk-chan,12,Jan 2000 - Apr 2000,5717,6.03
3977,Revisions,12,Jan 2019 - Mar 2019,64496,6.03
3978,Shima Shima Tora no Shimajirou,726,Dec 1993 - Mar 2008,964,6.03
3979,Animal 1,27,Apr 1968 - Sep 1968,762,6.03
3980,Annyeong Jadoo,122,Jul 2011 - Feb 2016,539,6.03
3981,Asatir: Mirai no Mukashi Banashi,13,Apr 2020 - Jun 2020,3924,6.03
3982,Bakumatsu Rock,12,Jul 2014 - Sep 2014,29830,6.03
3983,Bikkuriman 2000,68,Nov 1999 - Feb 2001,605,6.03
3984,Boruto: Naruto Next Generations,293,Apr 2017 - Mar 2023,853683,6.03
3985,"Chiisana Obake: Acchi, Kocchi, Socchi",50,Apr 1991 - Apr 1992,1867,6.03
3986,Egao no Daika,12,Jan 2019 - Mar 2019,37623,6.03
3987,Jinzou Konchuu Kabutoborg VxV,52,Oct 2006 - Oct 2007,910,6.03
3988,Tamagotchi! Yume Kira Dream,49,Sep 2012 - Aug 2013,725,6.03
3989,Watanuki-san Chi to,12,Apr 2020 - Jun 2020,1619,6.03
3990,Weiß Survive,16,Jun 2009 - Sep 2009,21166,6.03
3991,Yurei Deco,12,Jul 2022 - Sep 2022,19098,6.03
3992,Zenryoku Usagi,52,Jan 2008 - Dec 2008,1173,6.03
3993,Ukkari Pénélope (2009),26,Jun 2009 - Jan 2010,643,6.02
3994,Xiao Liyu Lixian Ji,52,Jun 2007 -,397,6.02
3995,Yami Shibai 7,13,Jul 2019 - Sep 2019,20480,6.02
3996,Zhandou Wang Zhi Jufeng Zhan Hun 3,40,Sep 2015 - Oct 2015,714,6.02
3997,Kakutou Ryouri Densetsu Bistro Recipe,26,Dec 2001 - Jun 2002,5104,6.02
3998,Kinpatsu no Jeanie,13,Jul 1979 - Oct 1979,1268,6.02
3999,Manga Aesop Monogatari (TV),52,Oct 1983 - Dec 1983,562,6.02
4000,Nogsaegjeoncha Hamos,26,Dec 1997 - Jun 1998,1015,6.02
4001,Obocchama-kun,164,Jan 1989 - Sep 1992,865,6.02
4002,Chikkun Takkun,23,Apr 1984 - Sep 1984,691,6.02
4003,Divergence Eve,13,Jul 2003 - Sep 2003,13001,6.01
4004,Doushitemo Eto ni Hairitai,13,Oct 2015 - Jan 2016,579,6.01
4005,Flowering Heart,26,Feb 2016 - May 2016,5288,6.01
4006,Itsumo Kokoro ni Taiyou wo!,16,Nov 1999 - Nov 1999,981,6.01
4007,Souten no Ken: Regenesis 2nd Season,12,Oct 2018 - Dec 2018,4854,6.01
4008,Weiß Survive R,12,Dec 2009 - Mar 2010,11343,6.01
4009,Wolverine,12,Jan 2011 - Mar 2011,27105,6.01
4010,Zhen Gyi Hong Shi,52,Oct 2014 - Nov 2014,682,6.01
4011,Ken En Ken: Aoki Kagayaki,13,Oct 2018 - Dec 2018,17323,6.01
4012,Mameneko,12,Jan 2018 - Mar 2018,1621,6.01
4013,Nurse Witch Komugi-chan R,12,Jan 2016 - Mar 2016,12993,6.01
4014,Lei Su Deng Shandian Chong Xian 3,40,Nov 2012 -,354,6.0
4015,Nanami-chan 3rd Series,16,Aug 2006 - Nov 2006,632,6.0
4016,Ongaku Shoujo (TV),12,Jul 2018 - Sep 2018,16154,6.0
4017,Personal Computer Travel Tanteidan,26,Apr 1983 - Sep 1983,1301,6.0
4018,Saru Getchu: On Air,26,Apr 2006 - Sep 2006,1330,6.0
4019,Bucchigire!,12,Jul 2022 - Sep 2022,34734,6.0
4020,Hangyakusei Million Arthur,10,Oct 2018 - Dec 2018,39609,6.0
4021,Spheres,26,Feb 2003 - Aug 2003,821,6.0
4022,Tezuka Osamu no Don Dracula,8,Apr 1982 - Apr 1982,2819,6.0
4023,Yumemiru Topo Gigio,13,Oct 1988 - Dec 1988,1128,6.0
4024,Stitch!: Zutto Saikou no Tomodachi,29,Jul 2010 - Mar 2011,2436,5.99
4025,Tama & Friends: Uchi no Tama Shirimasen ka?,104,Oct 2016 - Sep 2018,920,5.99
4026,Turning Mecard W,26,May 2016 - Nov 2016,569,5.99
4027,Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,13,Jul 1999 - Oct 1999,1615,5.99
4028,Uchuu Majin Daikengou,26,Jul 1978 - Feb 1979,1225,5.99
4029,Yuuki Yuuna wa Yuusha de Aru Churutto!,12,Apr 2021 - Jun 2021,7078,5.99
4030,Zero Tester: Chikyuu wo Mamore!,28,Jun 1974 - Dec 1974,711,5.99
4031,Mouse,12,Jan 2003 - Mar 2003,21084,5.99
4032,Narutaru: Mukuro Naru Hoshi Tama Taru Ko,13,Jul 2003 - Sep 2003,35955,5.99
4033,Neko no Nyagh: Nya Misérables,25,Apr 2019 - Sep 2019,532,5.99
4034,Piano (TV),10,Nov 2002 - Jan 2003,8963,5.99
4035,Ange Vierge,12,Jul 2016 - Sep 2016,54988,5.99
4036,Caligula (TV),12,Apr 2018 - Jun 2018,76266,5.99
4037,Eightman,56,Nov 1963 - Dec 1964,1987,5.99
4038,Hanakappa,,Mar 2010 -,918,5.99
4039,Amnesia,12,Jan 2013 - Mar 2013,294991,5.98
4040,Cap Kakumei Bottleman DX,51,Apr 2022 - Mar 2023,903,5.98
4041,Heisei Tensai Bakabon,46,Jan 1990 - Dec 1990,844,5.98
4042,Himitsukessha Taka no Tsume NEO,38,Apr 2012 - Feb 2013,653,5.98
4043,Hipira-kun,10,Dec 2009 - Dec 2009,3416,5.98
4044,Huoli Shaonian Wang zhi Chuanqi Zaixian,40,Sep 2014 - Oct 2014,465,5.98
4045,I: Wish You Were Here,4,Oct 2001 - Nov 2001,10652,5.98
4046,Jungle Kurobee,31,Mar 1973 - Sep 1973,609,5.98
4047,Twin Angel Break,12,Apr 2017 - Jun 2017,13472,5.98
4048,Usavich Zero,13,Apr 2015 - Aug 2015,1925,5.98
4049,Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season,12,Jan 2018 - Mar 2018,5229,5.98
4050,Nippon-ichi no Otoko no Tamashii,16,Jan 1999 - Jan 1999,1604,5.98
4051,Larva,104,Mar 2011 - Sep 2011,2306,5.97
4052,Maou Dante,13,Aug 2002 - Nov 2002,10692,5.97
4053,Najica Dengeki Sakusen,12,Oct 2001 - Dec 2001,15212,5.97
4054,Otogi Manga Calendar,312,Jun 1962 - Jun 1964,784,5.97
4055,Sengoku☆Paradise Kiwami,26,Oct 2011 - Mar 2012,5584,5.97
4056,Shinya! Tensai Bakabon,12,Jul 2018 - Sep 2018,3410,5.97
4057,Choukadou Girl ⅙,12,Apr 2019 - Jun 2019,17761,5.97
4058,Circlet Princess,12,Jan 2019 - Mar 2019,17488,5.97
4059,Crush Gear Nitro,50,Feb 2003 - Jan 2004,1790,5.97
4060,Fushigi Dagashiya: Zenitendou,,Sep 2020 -,1766,5.97
4061,Isuca,10,Jan 2015 - Mar 2015,147362,5.97
4062,Juusou Kikou Dancougar Nova,12,Feb 2007 - May 2007,5910,5.97
4063,Vampiyan Kids,23,Oct 2001 - Mar 2002,1135,5.97
4064,Space Bug,26,Jul 2018 - Jan 2019,846,5.96
4065,Strange+,12,Jan 2014 - Mar 2014,31962,5.96
4066,Mahou Sensou,12,Jan 2014 - Mar 2014,251304,5.96
4067,Makyou Densetsu Acrobunch,24,May 1982 - Dec 1982,1487,5.96
