,Name,Episodes,Release,Members,Score
246,Ballroom e Youkoso,24,Jul 2017 - Dec 2017,331142,8.18
247,Chihayafuru,25,Oct 2011 - Mar 2012,456794,8.18
248,Fate/stay night: Unlimited Blade Works,12,Oct 2014 - Dec 2014,1057471,8.18
249,Aria the Natural,26,Apr 2006 - Sep 2006,78443,8.17
250,Black Lagoon: The Second Barrage,12,Oct 2006 - Dec 2006,513041,8.17
251,Cardcaptor Sakura,70,Apr 1998 - Mar 2000,432760,8.17
252,Dr. Stone: Stone Wars,11,Jan 2021 - Mar 2021,1018884,8.17
253,Dragon Ball Z,291,Apr 1989 - Jan 1996,1210438,8.17
254,Higurashi no Naku Koro ni Kai,24,Jul 2007 - Dec 2007,476067,8.17
255,Initial D Fourth Stage,24,Apr 2004 - Feb 2006,184327,8.17
256,Initial D Second Stage,13,Oct 1999 - Jan 2000,215724,8.17
257,K-On!!,26,Apr 2010 - Sep 2010,688000,8.17
258,Yuukoku no Moriarty,11,Oct 2020 - Dec 2020,418056,8.17
259,Meitantei Conan,,Jan 1996 -,344737,8.17
260,Ouran Koukou Host Club,26,Apr 2006 - Sep 2006,1111487,8.16
261,Toaru Kagaku no Railgun T,25,Jan 2020 - Sep 2020,228262,8.16
262,Shokugeki no Souma,24,Apr 2015 - Sep 2015,1625657,8.15
263,Noragami Aragoto,13,Oct 2015 - Dec 2015,1439941,8.15
264,Paripi Koumei,12,Apr 2022 - Jun 2022,285300,8.15
265,Black Clover,170,Oct 2017 - Mar 2021,1631413,8.15
266,Death Parade,12,Jan 2015 - Mar 2015,1746171,8.15
267,Dr. Stone: New World,11,Apr 2023 - Jun 2023,433358,8.15
268,IDOLiSH7 Second Beat!,15,Apr 2020 - Dec 2020,30786,8.15
269,Tensei shitara Slime Datta Ken,24,Oct 2018 - Mar 2019,1407237,8.14
270,Kaiba,12,Apr 2008 - Jul 2008,150474,8.14
271,Nisemonogatari,11,Jan 2012 - Mar 2012,725563,8.14
272,Princess Tutu,38,Aug 2002 - May 2003,167402,8.14
273,Katekyou Hitman Reborn!,203,Oct 2006 - Sep 2010,553427,8.13
274,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,13,Apr 2019 - Aug 2019,22117,8.13
275,Lupin III: Part 5,24,Apr 2018 - Sep 2018,43746,8.13
276,Nodame Cantabile: Paris-hen,11,Oct 2008 - Dec 2008,124010,8.13
277,Seirei no Moribito,26,Apr 2007 - Sep 2007,216774,8.13
278,Buddy Daddies,12,Jan 2023 - Apr 2023,253394,8.13
279,Eizouken ni wa Te wo Dasu na!,12,Jan 2020 - Mar 2020,331110,8.13
280,Gankutsuou,24,Oct 2004 - Mar 2005,247547,8.13
281,Golden Kamuy 4th Season,13,Oct 2022 - Jun 2023,91561,8.13
